target_mode,target_label,lead_months,model,n_val,corr,corr_ci_low,corr_ci_high,rmse,rmse_ci_low,rmse_ci_high,block_len_months,n_boot
benchmark,Benchmark Nino 3.4,1,west_55m_linear,323,0.7089,0.5894,0.7955,0.7272,0.6152,0.7998,12,2000
benchmark,Benchmark Nino 3.4,1,persistence,323,0.975,0.966,0.9812,0.1944,0.1638,0.2227,12,2000
benchmark,Benchmark Nino 3.4,1,climatology_zero,323,,,,0.8712,0.7153,1.0044,12,2000
benchmark,Benchmark Nino 3.4,3,west_55m_linear,321,0.6753,0.5428,0.7807,0.7403,0.6265,0.8007,12,2000
benchmark,Benchmark Nino 3.4,3,persistence,321,0.8052,0.7417,0.8598,0.5415,0.4364,0.6276,12,2000
benchmark,Benchmark Nino 3.4,3,climatology_zero,321,,,,0.8737,0.7054,1.0009,12,2000
benchmark,Benchmark Nino 3.4,6,west_55m_linear,318,0.4198,0.1989,0.6056,0.8221,0.6706,0.9067,12,2000
benchmark,Benchmark Nino 3.4,6,persistence,318,0.4367,0.2703,0.6013,0.9212,0.7151,1.0782,12,2000
benchmark,Benchmark Nino 3.4,6,climatology_zero,318,,,,0.8767,0.706,0.9963,12,2000
benchmark,Benchmark Nino 3.4,9,west_55m_linear,315,0.1018,-0.1625,0.3421,0.87,0.6995,0.9864,12,2000
benchmark,Benchmark Nino 3.4,9,persistence,315,0.1455,-0.091,0.4306,1.1344,0.8612,1.3442,12,2000
benchmark,Benchmark Nino 3.4,9,climatology_zero,315,,,,0.8737,0.7062,0.9899,12,2000
boxmean,GODAS surface box,1,west_55m_linear,323,0.7588,0.5916,0.8505,0.7921,0.6522,0.8645,12,2000
boxmean,GODAS surface box,1,persistence,323,0.9569,0.936,0.9664,0.2808,0.2387,0.3296,12,2000
boxmean,GODAS surface box,1,climatology_zero,323,,,,0.959,0.7293,1.1355,12,2000
boxmean,GODAS surface box,3,west_55m_linear,321,0.6364,0.4153,0.7653,0.8464,0.6886,0.9094,12,2000
boxmean,GODAS surface box,3,persistence,321,0.7537,0.6673,0.8082,0.6697,0.5282,0.7869,12,2000
boxmean,GODAS surface box,3,climatology_zero,321,,,,0.9618,0.7305,1.1148,12,2000
boxmean,GODAS surface box,6,west_55m_linear,318,0.3054,0.0169,0.5139,0.9355,0.7072,1.0384,12,2000
boxmean,GODAS surface box,6,persistence,318,0.3424,0.1679,0.5102,1.092,0.8137,1.2967,12,2000
boxmean,GODAS surface box,6,climatology_zero,318,,,,0.963,0.7253,1.0982,12,2000
boxmean,GODAS surface box,9,west_55m_linear,315,0.0025,-0.2286,0.2602,0.9553,0.7321,1.093,12,2000
boxmean,GODAS surface box,9,persistence,315,0.0341,-0.1946,0.3131,1.3138,0.9563,1.5745,12,2000
boxmean,GODAS surface box,9,climatology_zero,315,,,,0.9477,0.7122,1.0789,12,2000
