event_year,west_depth_m,east_date,west_date,east_z,west_z,west_abs_z,lead_months
1983,5,1983-01,1982-09,2.3811,-3.5143,3.5143,4
1992,5,1992-02,1992-02,2.1029,-2.7138,2.7138,0
1998,5,1997-12,1997-09,2.978,-2.8976,2.8976,3
2016,5,2015-12,2015-08,3.1052,-2.3022,2.3022,4
1983,15,1983-01,1982-09,2.3811,-3.7552,3.7552,4
1992,15,1992-02,1992-02,2.1029,-2.6304,2.6304,0
1998,15,1997-12,1997-09,2.978,-2.8663,2.8663,3
2016,15,2015-12,2015-08,3.1052,-2.2511,2.2511,4
1983,25,1983-01,1982-09,2.3811,-3.7101,3.7101,4
1992,25,1992-02,1992-02,2.1029,-2.5048,2.5048,0
1998,25,1997-12,1997-09,2.978,-2.7692,2.7692,3
2016,25,2015-12,2015-07,3.1052,-2.5005,2.5005,5
1983,35,1983-01,1982-11,2.3811,-3.816,3.816,2
1992,35,1992-02,1991-12,2.1029,-2.6473,2.6473,2
1998,35,1997-12,1997-09,2.978,-2.5306,2.5306,3
2016,35,2015-12,2015-07,3.1052,-3.1486,3.1486,5
1983,45,1983-01,1982-11,2.3811,-4.3333,4.3333,2
1992,45,1992-02,1991-12,2.1029,-2.9107,2.9107,2
1998,45,1997-12,1997-12,2.978,-3.2903,3.2903,0
2016,45,2015-12,2015-07,3.1052,-4.2221,4.2221,5
1983,55,1983-01,1982-11,2.3811,-4.1673,4.1673,2
1992,55,1992-02,1991-12,2.1029,-2.9653,2.9653,2
1998,55,1997-12,1997-12,2.978,-3.9745,3.9745,0
2016,55,2015-12,2015-07,3.1052,-4.6196,4.6196,5
1983,65,1983-01,1982-11,2.3811,-3.7016,3.7016,2
1992,65,1992-02,1991-12,2.1029,-2.6926,2.6926,2
1998,65,1997-12,1997-12,2.978,-4.3611,4.3611,0
2016,65,2015-12,2015-07,3.1052,-4.3047,4.3047,5
1983,75,1983-01,1982-11,2.3811,-3.2859,3.2859,2
1992,75,1992-02,1992-01,2.1029,-2.5608,2.5608,1
1998,75,1997-12,1997-12,2.978,-4.2761,4.2761,0
2016,75,2015-12,2015-08,3.1052,-3.9785,3.9785,4
1983,85,1983-01,1982-12,2.3811,-2.9748,2.9748,1
1992,85,1992-02,1992-01,2.1029,-2.4431,2.4431,1
1998,85,1997-12,1997-12,2.978,-3.8895,3.8895,0
2016,85,2015-12,2015-08,3.1052,-3.6061,3.6061,4
1983,95,1983-01,1982-12,2.3811,-2.7283,2.7283,1
1992,95,1992-02,1992-01,2.1029,-2.3398,2.3398,1
1998,95,1997-12,1997-12,2.978,-3.5451,3.5451,0
2016,95,2015-12,2015-08,3.1052,-3.1938,3.1938,4
1983,105,1983-01,1982-12,2.3811,-2.4835,2.4835,1
1992,105,1992-02,1992-02,2.1029,-2.2096,2.2096,0
1998,105,1997-12,1997-12,2.978,-3.2799,3.2799,0
2016,105,2015-12,2015-08,3.1052,-2.8036,2.8036,4
1983,115,1983-01,1982-12,2.3811,-2.2354,2.2354,1
1992,115,1992-02,1992-02,2.1029,-2.1786,2.1786,0
1998,115,1997-12,1997-12,2.978,-3.0897,3.0897,0
2016,115,2015-12,2015-10,3.1052,-2.6129,2.6129,2
1983,125,1983-01,1982-11,2.3811,-2.0199,2.0199,2
1992,125,1992-02,1992-02,2.1029,-2.1264,2.1264,0
1998,125,1997-12,1997-12,2.978,-2.9695,2.9695,0
2016,125,2015-12,2015-10,3.1052,-2.4721,2.4721,2
1983,135,1983-01,1982-10,2.3811,-1.8521,1.8521,3
1992,135,1992-02,1992-02,2.1029,-2.1354,2.1354,0
1998,135,1997-12,1997-12,2.978,-2.9257,2.9257,0
2016,135,2015-12,2015-10,3.1052,-2.3405,2.3405,2
1983,145,1983-01,1982-10,2.3811,-1.7422,1.7422,3
1992,145,1992-02,1992-02,2.1029,-2.1378,2.1378,0
1998,145,1997-12,1997-12,2.978,-2.9266,2.9266,0
2016,145,2015-12,2015-12,3.1052,-2.3335,2.3335,0
1983,155,1983-01,1983-01,2.3811,-1.7502,1.7502,0
1992,155,1992-02,1992-02,2.1029,-2.1836,2.1836,0
1998,155,1997-12,1997-12,2.978,-2.8763,2.8763,0
2016,155,2015-12,2015-12,3.1052,-2.3343,2.3343,0
1983,165,1983-01,1983-01,2.3811,-1.8178,1.8178,0
1992,165,1992-02,1992-02,2.1029,-2.286,2.286,0
1998,165,1997-12,1997-12,2.978,-2.8018,2.8018,0
2016,165,2015-12,2015-12,3.1052,-2.3674,2.3674,0
1983,175,1983-01,1983-01,2.3811,-1.9117,1.9117,0
1992,175,1992-02,1992-02,2.1029,-2.4036,2.4036,0
1998,175,1997-12,1997-12,2.978,-2.7672,2.7672,0
2016,175,2015-12,2015-12,3.1052,-2.4063,2.4063,0
1983,185,1983-01,1983-01,2.3811,-1.9653,1.9653,0
1992,185,1992-02,1992-02,2.1029,-2.4987,2.4987,0
1998,185,1997-12,1997-12,2.978,-2.7555,2.7555,0
2016,185,2015-12,2015-12,3.1052,-2.4149,2.4149,0
1983,195,1983-01,1983-01,2.3811,-1.9798,1.9798,0
1992,195,1992-02,1992-02,2.1029,-2.5617,2.5617,0
1998,195,1997-12,1997-12,2.978,-2.7452,2.7452,0
2016,195,2015-12,2015-12,3.1052,-2.3818,2.3818,0
1983,205,1983-01,1983-01,2.3811,-2.0027,2.0027,0
1992,205,1992-02,1992-02,2.1029,-2.5993,2.5993,0
1998,205,1997-12,1997-12,2.978,-2.7078,2.7078,0
2016,205,2015-12,2015-12,3.1052,-2.3237,2.3237,0
